date;currency;digital_code;letter_code;rate
1973-09-01;Шведская крона;752;SEK;0.1715
1973-09-01;Швейцарский франк;756;CHF;0.2451
1973-09-01;Югославский динар;;;0.0439
1973-09-01;Японская иена;392;JPY;0.00272
1973-09-12;Австралийский доллар;036;AUD;1.11
1973-09-12;Новозеландский доллар;;;1.14
1973-10-01;Австралийский доллар;036;AUD;1.11
1973-10-01;Болгарский лев;975;BGN;0.7692
1973-10-01;Венгерский форинт;348;HUF;0.0767
1973-10-01;Датская крона;208;DKK;0.1246
1973-10-01;Доллар США;840;USD;0.715
1973-10-01;Индийская рупия;356;INR;0.1139
1973-10-01;Канадский доллар;124;CAD;0.7093
1973-10-01;Китайский юань;156;CNY;0.45
1973-10-01;Марка ГДР;;;0.405
1973-10-01;Марка ФРГ;;;0.298
1973-10-01;Монгольский тугрик;;;0.225
1973-10-01;Новозеландский доллар;;;1.14
1973-10-01;Норвежская крона;578;NOK;0.1305
1973-10-01;Польский злотый;985;PLN;0.225
1973-10-01;Сингапурский доллар;702;SGD;0.294
1973-10-01;Турецкая лира;949;TRY;0.0533
1973-10-01;Французский франк;250;FRF;0.1707
1973-10-01;Фунт стерлингов Соединенного королевства;826;GBP;1.6
1973-10-01;Чехословацкая крона;;;0.125
1973-10-01;Шведская крона;752;SEK;0.1715
1973-10-01;Швейцарский франк;756;CHF;0.2451
1973-10-01;Югославский динар;;;0.0439
1973-10-01;Японская иена;392;JPY;0.00272
1973-11-01;Австралийский доллар;036;AUD;1.11
1973-11-01;Болгарский лев;975;BGN;0.7692
1973-11-01;Венгерский форинт;348;HUF;0.0767
1973-11-01;Датская крона;208;DKK;0.127
1973-11-01;Доллар США;840;USD;0.715
1973-11-01;Индийская рупия;356;INR;0.1139
1973-11-01;Канадский доллар;124;CAD;0.7123
1973-11-01;Китайский юань;156;CNY;0.45
1973-11-01;Марка ГДР;;;0.405
1973-11-01;Марка ФРГ;;;0.2954
1973-11-01;Монгольский тугрик;;;0.225
1973-11-01;Новозеландский доллар;;;1.14
1973-11-01;Норвежская крона;578;NOK;0.1307
1973-11-01;Польский злотый;985;PLN;0.225
1973-11-01;Сингапурский доллар;702;SGD;0.294
1973-11-01;Турецкая лира;949;TRY;0.0533
1973-11-01;Французский франк;250;FRF;0.1707
1973-11-01;Фунт стерлингов Соединенного королевства;826;GBP;1.6
1973-11-01;Чехословацкая крона;;;0.125
1973-11-01;Шведская крона;752;SEK;0.1703
1973-11-01;Швейцарский франк;756;CHF;0.2367
1973-11-01;Югославский динар;;;0.0439
1973-11-01;Японская иена;392;JPY;0.00267
1973-11-20;Доллар США;840;USD;0.7461
1973-11-20;Марка ФРГ;;;0.285
1973-11-20;Норвежская крона;578;NOK;0.131
1973-11-20;Фунт стерлингов Соединенного королевства;826;GBP;1.66
1973-11-20;Швейцарский франк;756;CHF;0.2346
1973-12-01;Австралийский доллар;036;AUD;1.11
1973-12-01;Болгарский лев;975;BGN;0.7692
1973-12-01;Венгерский форинт;348;HUF;0.0767
1973-12-01;Датская крона;208;DKK;0.1247
1973-12-01;Доллар США;840;USD;0.7461
1973-12-01;Индийская рупия;356;INR;0.1139
1973-12-01;Канадский доллар;124;CAD;0.7465
1973-12-01;Китайский юань;156;CNY;0.45
1973-12-01;Марка ГДР;;;0.405
1973-12-01;Марка ФРГ;;;0.285
1973-12-01;Монгольский тугрик;;;0.225
1973-12-01;Новозеландский доллар;;;1.14
1973-12-01;Норвежская крона;578;NOK;0.1348
1973-12-01;Польский злотый;985;PLN;0.225
1973-12-01;Сингапурский доллар;702;SGD;0.294
1973-12-01;Турецкая лира;949;TRY;0.0533
1973-12-01;Французский франк;250;FRF;0.1683
1973-12-01;Фунт стерлингов Соединенного королевства;826;GBP;1.66
1973-12-01;Чехословацкая крона;;;0.125
1973-12-01;Шведская крона;752;SEK;0.1703
1973-12-01;Швейцарский франк;756;CHF;0.2394
1973-12-01;Югославский динар;;;0.0439
1973-12-01;Японская иена;392;JPY;0.00267
1974-01-01;Австралийский доллар;036;AUD;1.11
1974-01-01;Болгарский лев;975;BGN;0.7692
1974-01-01;Венгерский форинт;348;HUF;0.0767
1974-01-01;Датская крона;208;DKK;0.1245
1974-01-01;Доллар США;840;USD;0.7536
1974-01-01;Индийская рупия;356;INR;0.1139
1974-01-01;Канадский доллар;124;CAD;0.7467
1974-01-01;Китайский юань;156;CNY;0.45
1974-01-01;Марка ГДР;;;0.405
1974-01-01;Марка ФРГ;;;0.2879
1974-01-01;Монгольский тугрик;;;0.225
1974-01-01;Новозеландский доллар;;;1.14
1974-01-01;Норвежская крона;578;NOK;0.1357
1974-01-01;Польский злотый;985;PLN;0.225
1974-01-01;Сингапурский доллар;702;SGD;0.294
1974-01-01;Турецкая лира;949;TRY;0.0533
1974-01-01;Французский франк;250;FRF;0.1669
1974-01-01;Фунт стерлингов Соединенного королевства;826;GBP;1.64
1974-01-01;Чехословацкая крона;;;0.125
1974-01-01;Шведская крона;752;SEK;0.1693
1974-01-01;Швейцарский франк;756;CHF;0.2438
1974-01-01;Югославский динар;;;0.0439
1974-01-01;Японская иена;392;JPY;0.00267
1974-01-18;Доллар США;840;USD;0.7775
1974-01-18;Марка ФРГ;;;0.276
1974-01-18;Норвежская крона;578;NOK;0.1293
1974-01-18;Французский франк;250;FRF;0.1553
1974-01-18;Шведская крона;752;SEK;0.1607
1974-01-18;Швейцарский франк;756;CHF;0.2294
1974-02-01;Австралийский доллар;036;AUD;1.11
1974-02-01;Болгарский лев;975;BGN;0.7692
1974-02-01;Венгерский форинт;348;HUF;0.0767
1974-02-01;Датская крона;208;DKK;0.1182
1974-02-01;Доллар США;840;USD;0.79
1974-02-01;Индийская рупия;356;INR;0.1139
1974-02-01;Канадский доллар;124;CAD;0.7985
1974-02-01;Китайский юань;156;CNY;0.45
1974-02-01;Марка ГДР;;;0.405
1974-02-01;Марка ФРГ;;;0.2795
1974-02-01;Монгольский тугрик;;;0.225
1974-02-01;Новозеландский доллар;;;1.14
1974-02-01;Норвежская крона;578;NOK;0.133
1974-02-01;Польский злотый;985;PLN;0.225
1974-02-01;Сингапурский доллар;702;SGD;0.294
1974-02-01;Турецкая лира;949;TRY;0.0533
1974-02-01;Французский франк;250;FRF;0.1519
1974-02-01;Фунт стерлингов Соединенного королевства;826;GBP;1.72
1974-02-01;Чехословацкая крона;;;0.125
1974-02-01;Шведская крона;752;SEK;0.1642
1974-02-01;Швейцарский франк;756;CHF;0.2353
1974-02-01;Югославский динар;;;0.0439
1974-02-01;Японская иена;392;JPY;0.00263
1974-03-01;Австралийский доллар;036;AUD;1.11
1974-03-01;Болгарский лев;975;BGN;0.7692
1974-03-01;Венгерский форинт;348;HUF;0.0767
1974-03-01;Датская крона;208;DKK;0.1182
1974-03-01;Доллар США;840;USD;0.77
1974-03-01;Индийская рупия;356;INR;0.0951
1974-03-01;Канадский доллар;124;CAD;0.7546
1974-03-01;Китайский юань;156;CNY;0.45
1974-03-01;Марка ГДР;;;0.405
1974-03-01;Марка ФРГ;;;0.2906
1974-03-01;Монгольский тугрик;;;0.225
1974-03-01;Новозеландский доллар;;;1.14
1974-03-01;Норвежская крона;578;NOK;0.133
1974-03-01;Польский злотый;985;PLN;0.225
1974-03-01;Сингапурский доллар;702;SGD;0.294
1974-03-01;Турецкая лира;949;TRY;0.0533
1974-03-01;Французский франк;250;FRF;0.1604
1974-03-01;Фунт стерлингов Соединенного королевства;826;GBP;1.78
1974-03-01;Чехословацкая крона;;;0.125
1974-03-01;Шведская крона;752;SEK;0.1642
1974-03-01;Швейцарский франк;756;CHF;0.2508
1974-03-01;Югославский динар;;;0.0439
1974-03-01;Японская иена;392;JPY;0.00274
